#{"t_start": 1584991326.8030136, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-1.93326,1000,4.619068,"{'left': {'oppo_miss_start': 6, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 5, 'oppo_slow_ball': 0, 'oppo_miss_catch': 0, 'oppo_double_hit': 0}}"
-5.929668,2000,7.539052,"{'left': {'oppo_miss_start': 9, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 8, 'oppo_slow_ball': 0, 'oppo_miss_catch': 1, 'oppo_double_hit': 0}}"
-6.928016,3000,10.025733,"{'left': {'oppo_miss_start': 11, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 10, 'oppo_slow_ball': 0, 'oppo_miss_catch': 1, 'oppo_double_hit': 0}}"
-11.900719,4000,12.060054,"{'left': {'oppo_miss_start': 17, 'oppo_slow_ball': 0, 'oppo_miss_catch': 5, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 15, 'oppo_slow_ball': 1, 'oppo_miss_catch': 1, 'oppo_double_hit': 0}}"
-13.85372,5000,13.779529,"{'left': {'oppo_miss_start': 20, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 19, 'oppo_slow_ball': 1, 'oppo_miss_catch': 2, 'oppo_double_hit': 0}}"
-18.813407,6000,15.452752,"{'left': {'oppo_miss_start': 27, 'oppo_slow_ball': 0, 'oppo_miss_catch': 10, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 26, 'oppo_slow_ball': 1, 'oppo_miss_catch': 2, 'oppo_double_hit': 0}}"
-26.813407,7000,17.161062,"{'left': {'oppo_miss_start': 34, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 34, 'oppo_slow_ball': 1, 'oppo_miss_catch': 3, 'oppo_double_hit': 0}}"
-31.813407,8000,19.120394,"{'left': {'oppo_miss_start': 38, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 38, 'oppo_slow_ball': 1, 'oppo_miss_catch': 4, 'oppo_double_hit': 0}}"
-38.813407,9000,21.783755,"{'left': {'oppo_miss_start': 44, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 43, 'oppo_slow_ball': 1, 'oppo_miss_catch': 6, 'oppo_double_hit': 0}}"
-44.782492,10000,23.515545,"{'left': {'oppo_miss_start': 51, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 51, 'oppo_slow_ball': 1, 'oppo_miss_catch': 6, 'oppo_double_hit': 0}}"
