#{"t_start": 1584991336.8098323, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-5.997528,1000,3.892615,"{'left': {'oppo_miss_start': 6, 'oppo_slow_ball': 0, 'oppo_miss_catch': 1, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 6, 'oppo_slow_ball': 0, 'oppo_miss_catch': 1, 'oppo_double_hit': 0}}"
-8.941925,2000,6.524595,"{'left': {'oppo_miss_start': 11, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 12, 'oppo_slow_ball': 0, 'oppo_miss_catch': 1, 'oppo_double_hit': 0}}"
-13.936661,3000,8.425066,"{'left': {'oppo_miss_start': 14, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 15, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0}}"
-16.933143,4000,10.497036,"{'left': {'oppo_miss_start': 18, 'oppo_slow_ball': 0, 'oppo_miss_catch': 5, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 19, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0}}"
-22.933143,5000,12.733914,"{'left': {'oppo_miss_start': 23, 'oppo_slow_ball': 0, 'oppo_miss_catch': 6, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 25, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0}}"
-26.906884,6000,14.819754,"{'left': {'oppo_miss_start': 26, 'oppo_slow_ball': 0, 'oppo_miss_catch': 7, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 29, 'oppo_slow_ball': 0, 'oppo_miss_catch': 5, 'oppo_double_hit': 0}}"
-27.906884,7000,16.618415,"{'left': {'oppo_miss_start': 26, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 30, 'oppo_slow_ball': 0, 'oppo_miss_catch': 6, 'oppo_double_hit': 0}}"
-30.897007,8000,18.578431,"{'left': {'oppo_miss_start': 29, 'oppo_slow_ball': 0, 'oppo_miss_catch': 9, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 33, 'oppo_slow_ball': 0, 'oppo_miss_catch': 7, 'oppo_double_hit': 0}}"
-39.897007,9000,20.543944,"{'left': {'oppo_miss_start': 37, 'oppo_slow_ball': 0, 'oppo_miss_catch': 9, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 41, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0}}"
-46.842122,10000,22.554017,"{'left': {'oppo_miss_start': 44, 'oppo_slow_ball': 0, 'oppo_miss_catch': 10, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 48, 'oppo_slow_ball': 0, 'oppo_miss_catch': 9, 'oppo_double_hit': 0}}"
-50.802576,11000,24.548992,"{'left': {'oppo_miss_start': 48, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 51, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 0}}"
-51.791368,12000,26.506192,"{'left': {'oppo_miss_start': 49, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 53, 'oppo_slow_ball': 0, 'oppo_miss_catch': 12, 'oppo_double_hit': 0}}"
-54.791368,13000,28.51501,"{'left': {'oppo_miss_start': 52, 'oppo_slow_ball': 1, 'oppo_miss_catch': 13, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 57, 'oppo_slow_ball': 0, 'oppo_miss_catch': 12, 'oppo_double_hit': 0}}"
-57.75347,14000,30.607372,"{'left': {'oppo_miss_start': 56, 'oppo_slow_ball': 1, 'oppo_miss_catch': 15, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 62, 'oppo_slow_ball': 0, 'oppo_miss_catch': 12, 'oppo_double_hit': 0}}"
-64.738436,15000,32.632085,"{'left': {'oppo_miss_start': 65, 'oppo_slow_ball': 1, 'oppo_miss_catch': 16, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 70, 'oppo_slow_ball': 0, 'oppo_miss_catch': 12, 'oppo_double_hit': 0}}"
-65.735258,16000,34.788019,"{'left': {'oppo_miss_start': 65, 'oppo_slow_ball': 1, 'oppo_miss_catch': 16, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 71, 'oppo_slow_ball': 0, 'oppo_miss_catch': 12, 'oppo_double_hit': 0}}"
-70.721858,17000,36.911154,"{'left': {'oppo_miss_start': 71, 'oppo_slow_ball': 1, 'oppo_miss_catch': 18, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 78, 'oppo_slow_ball': 0, 'oppo_miss_catch': 12, 'oppo_double_hit': 0}}"
-78.719815,18000,39.025209,"{'left': {'oppo_miss_start': 80, 'oppo_slow_ball': 1, 'oppo_miss_catch': 19, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 86, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 0}}"
-82.700342,19000,41.341944,"{'left': {'oppo_miss_start': 85, 'oppo_slow_ball': 1, 'oppo_miss_catch': 20, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 91, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 0}}"
-87.664378,20000,43.717293,"{'left': {'oppo_miss_start': 90, 'oppo_slow_ball': 1, 'oppo_miss_catch': 22, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 96, 'oppo_slow_ball': 0, 'oppo_miss_catch': 15, 'oppo_double_hit': 0}}"
-95.664378,21000,45.9512,"{'left': {'oppo_miss_start': 99, 'oppo_slow_ball': 1, 'oppo_miss_catch': 23, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 105, 'oppo_slow_ball': 0, 'oppo_miss_catch': 15, 'oppo_double_hit': 0}}"
-102.648445,22000,48.180326,"{'left': {'oppo_miss_start': 107, 'oppo_slow_ball': 1, 'oppo_miss_catch': 24, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 113, 'oppo_slow_ball': 0, 'oppo_miss_catch': 15, 'oppo_double_hit': 0}}"
-110.648445,23000,50.700716,"{'left': {'oppo_miss_start': 112, 'oppo_slow_ball': 1, 'oppo_miss_catch': 24, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 119, 'oppo_slow_ball': 0, 'oppo_miss_catch': 17, 'oppo_double_hit': 0}}"
-112.636189,24000,52.890055,"{'left': {'oppo_miss_start': 114, 'oppo_slow_ball': 1, 'oppo_miss_catch': 24, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 120, 'oppo_slow_ball': 0, 'oppo_miss_catch': 18, 'oppo_double_hit': 0}}"
-112.550299,25000,55.100398,"{'left': {'oppo_miss_start': 116, 'oppo_slow_ball': 1, 'oppo_miss_catch': 27, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 123, 'oppo_slow_ball': 0, 'oppo_miss_catch': 18, 'oppo_double_hit': 0}}"
-119.550299,26000,57.257912,"{'left': {'oppo_miss_start': 119, 'oppo_slow_ball': 1, 'oppo_miss_catch': 27, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 126, 'oppo_slow_ball': 0, 'oppo_miss_catch': 22, 'oppo_double_hit': 0}}"
-128.507345,27000,59.514363,"{'left': {'oppo_miss_start': 124, 'oppo_slow_ball': 1, 'oppo_miss_catch': 28, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 132, 'oppo_slow_ball': 0, 'oppo_miss_catch': 26, 'oppo_double_hit': 0}}"
-134.481695,28000,61.701195,"{'left': {'oppo_miss_start': 131, 'oppo_slow_ball': 1, 'oppo_miss_catch': 29, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 138, 'oppo_slow_ball': 0, 'oppo_miss_catch': 27, 'oppo_double_hit': 0}}"
-139.434464,29000,63.874842,"{'left': {'oppo_miss_start': 135, 'oppo_slow_ball': 1, 'oppo_miss_catch': 29, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 141, 'oppo_slow_ball': 0, 'oppo_miss_catch': 29, 'oppo_double_hit': 0}}"
-142.434464,30000,66.132245,"{'left': {'oppo_miss_start': 137, 'oppo_slow_ball': 1, 'oppo_miss_catch': 29, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 143, 'oppo_slow_ball': 1, 'oppo_miss_catch': 29, 'oppo_double_hit': 0}}"
-150.434464,31000,68.319188,"{'left': {'oppo_miss_start': 142, 'oppo_slow_ball': 1, 'oppo_miss_catch': 29, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 148, 'oppo_slow_ball': 1, 'oppo_miss_catch': 32, 'oppo_double_hit': 0}}"
-158.434464,32000,70.481715,"{'left': {'oppo_miss_start': 148, 'oppo_slow_ball': 1, 'oppo_miss_catch': 29, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 154, 'oppo_slow_ball': 1, 'oppo_miss_catch': 34, 'oppo_double_hit': 0}}"
-162.401405,33000,72.676993,"{'left': {'oppo_miss_start': 152, 'oppo_slow_ball': 1, 'oppo_miss_catch': 29, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 157, 'oppo_slow_ball': 1, 'oppo_miss_catch': 35, 'oppo_double_hit': 0}}"
-166.395402,34000,74.819927,"{'left': {'oppo_miss_start': 157, 'oppo_slow_ball': 1, 'oppo_miss_catch': 30, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 161, 'oppo_slow_ball': 1, 'oppo_miss_catch': 36, 'oppo_double_hit': 0}}"
-173.382011,35000,77.01105,"{'left': {'oppo_miss_start': 163, 'oppo_slow_ball': 1, 'oppo_miss_catch': 31, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 168, 'oppo_slow_ball': 1, 'oppo_miss_catch': 37, 'oppo_double_hit': 0}}"
-182.367283,36000,79.292222,"{'left': {'oppo_miss_start': 173, 'oppo_slow_ball': 1, 'oppo_miss_catch': 31, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 177, 'oppo_slow_ball': 1, 'oppo_miss_catch': 37, 'oppo_double_hit': 0}}"
-188.345144,37000,81.6119,"{'left': {'oppo_miss_start': 177, 'oppo_slow_ball': 1, 'oppo_miss_catch': 32, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 181, 'oppo_slow_ball': 1, 'oppo_miss_catch': 40, 'oppo_double_hit': 0}}"
-196.324947,38000,83.791902,"{'left': {'oppo_miss_start': 184, 'oppo_slow_ball': 1, 'oppo_miss_catch': 32, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 186, 'oppo_slow_ball': 1, 'oppo_miss_catch': 43, 'oppo_double_hit': 0}}"
-197.310886,39000,86.026038,"{'left': {'oppo_miss_start': 185, 'oppo_slow_ball': 1, 'oppo_miss_catch': 33, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 188, 'oppo_slow_ball': 1, 'oppo_miss_catch': 43, 'oppo_double_hit': 0}}"
-198.287162,40000,88.203303,"{'left': {'oppo_miss_start': 188, 'oppo_slow_ball': 1, 'oppo_miss_catch': 35, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 190, 'oppo_slow_ball': 2, 'oppo_miss_catch': 43, 'oppo_double_hit': 0}}"
