#{"t_start": 1573703793.0821815, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-3.936063,1000,9.773709,"{'left': {'oppo_miss_start': 3, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 5, 'oppo_slow_ball': 0, 'oppo_miss_catch': 1, 'oppo_double_hit': 0}}"
-10.932216,2000,16.233436,"{'left': {'oppo_miss_start': 9, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 10, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0}}"
-10.932216,3000,18.660662,"{'left': {'oppo_miss_start': 9, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 10, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0}}"
-17.932216,4000,21.050617,"{'left': {'oppo_miss_start': 16, 'oppo_slow_ball': 1, 'oppo_miss_catch': 2, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 18, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0}}"
-20.928083,5000,23.469386,"{'left': {'oppo_miss_start': 20, 'oppo_slow_ball': 1, 'oppo_miss_catch': 3, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 22, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0}}"
-30.928083,6000,25.912532,"{'left': {'oppo_miss_start': 27, 'oppo_slow_ball': 1, 'oppo_miss_catch': 3, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 29, 'oppo_slow_ball': 0, 'oppo_miss_catch': 6, 'oppo_double_hit': 0}}"
-38.888783,7000,28.559323,"{'left': {'oppo_miss_start': 36, 'oppo_slow_ball': 1, 'oppo_miss_catch': 4, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 37, 'oppo_slow_ball': 0, 'oppo_miss_catch': 7, 'oppo_double_hit': 0}}"
-43.841183,8000,31.114267,"{'left': {'oppo_miss_start': 42, 'oppo_slow_ball': 1, 'oppo_miss_catch': 6, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 43, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0}}"
-54.841183,9000,33.560559,"{'left': {'oppo_miss_start': 50, 'oppo_slow_ball': 1, 'oppo_miss_catch': 6, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 51, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 0}}"
-59.782234,10000,36.014731,"{'left': {'oppo_miss_start': 53, 'oppo_slow_ball': 1, 'oppo_miss_catch': 8, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 55, 'oppo_slow_ball': 0, 'oppo_miss_catch': 14, 'oppo_double_hit': 0}}"
-67.734606,11000,38.462628,"{'left': {'oppo_miss_start': 59, 'oppo_slow_ball': 1, 'oppo_miss_catch': 9, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 61, 'oppo_slow_ball': 0, 'oppo_miss_catch': 17, 'oppo_double_hit': 0}}"
-77.734606,12000,40.952937,"{'left': {'oppo_miss_start': 66, 'oppo_slow_ball': 1, 'oppo_miss_catch': 10, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 69, 'oppo_slow_ball': 0, 'oppo_miss_catch': 20, 'oppo_double_hit': 0}}"
